group_id,group_number,time,particles,is_alive,longitude,latitude,geometry,month
14,14011,2023-05-01 00:00:00,953,1.0,-83.29385,44.810234,POINT (1091771.2630737198 916191.2562216797),2023-05
14,14012,2023-05-13 18:00:00,954,1.0,-83.564766,44.165154,POINT (1071174.1120016791 844125.7304799329),2023-05
14,14015,2023-05-15 12:00:00,957,1.0,-83.5405,44.238052,POINT (1073019.921441013 852259.232658119),2023-05
14,14017,2023-05-12 06:00:00,959,1.0,-83.5148,44.26728,POINT (1075031.3451536342 855535.3211458127),2023-05
14,14019,2023-05-12 00:00:00,961,1.0,-83.51453,44.266808,POINT (1075053.8570691189 855482.9403462252),2023-05
14,14021,2023-05-09 06:00:00,963,1.0,-83.42643,44.271503,POINT (1082070.1639903337 856091.5746158422),2023-05
14,14022,2023-05-09 06:00:00,964,1.0,-83.42643,44.271503,POINT (1082070.1639903337 856091.5746158422),2023-05
14,14023,2023-05-14 12:00:00,965,1.0,-83.56435,44.166443,POINT (1071206.0323331172 844269.5721155065),2023-05
14,14024,2023-05-01 00:00:00,966,1.0,-83.29529,44.811665,POINT (1091655.7035212852 916348.8426670938),2023-05
14,14025,2023-05-01 12:00:00,967,1.0,-83.29352,44.809544,POINT (1091798.8821704714 916114.787854358),2023-05
14,14028,2023-05-14 12:00:00,970,1.0,-83.55748,44.18504,POINT (1071731.2626125966 846344.9672349915),2023-05
14,14029,2023-05-13 12:00:00,971,1.0,-83.526306,44.257637,POINT (1074126.5723309435 854451.5355349232),2023-05
14,14030,2023-05-08 12:00:00,972,1.0,-83.3778,44.324123,POINT (1085868.0092339008 861997.8163275016),2023-05
14,14031,2023-05-13 18:00:00,973,1.0,-83.52423,44.259556,POINT (1074289.5589353926 854666.9696030815),2023-05
14,14032,2023-05-13 12:00:00,974,1.0,-83.52722,44.25702,POINT (1074054.3691734069 854381.9244928916),2023-05
14,14033,2023-05-13 12:00:00,975,1.0,-83.52588,44.25835,POINT (1074159.7195499989 854531.3092935871),2023-05
14,14035,2023-05-14 12:00:00,977,1.0,-83.56645,44.1594,POINT (1071046.5387804157 843484.1431533451),2023-05
14,14036,2023-05-13 12:00:00,978,1.0,-83.527435,44.257637,POINT (1074036.5420341745 854450.4953497875),2023-05
14,14037,2023-05-13 12:00:00,979,1.0,-83.52451,44.25907,POINT (1074267.6766900409 854612.7984566543),2023-05
