group_number,group_id,longitude,latitude,time,particles,geometry,index_right,ID,GRIDCODE,Wetland,Shape_Area,Shape_Len,start_lat,start_lon
7122,71,-82.60147,43.63798,2023-01-01 00:00:00,2785,POINT (-82.60147094726562 43.63798141479492),4122,922744,18,Phragmites,365104.47377,4514.28048213,43.6371798025,-82.6019820515
7123,71,-82.60947,43.735603,2023-07-19 18:00:00,2786,POINT (-82.60946655273438 43.73560333251953),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
7124,71,-82.6069,43.711037,2023-01-05 00:00:00,2787,POINT (-82.60690307617188 43.711036682128906),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7125,71,-82.60501,43.710636,2023-01-04 18:00:00,2788,POINT (-82.60501098632812 43.710636138916016),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7126,71,-82.60745,43.703976,2023-01-04 12:00:00,2789,POINT (-82.60745239257812 43.703975677490234),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7127,71,-82.99811,44.0481,2023-07-22 18:00:00,2790,POINT (-82.99810791015625 44.048099517822266),1492,629945,18,Phragmites,5569484.26618,51994.6606601,44.0460463374,-83.0265314141
7128,71,-82.60675,43.707905,2023-01-05 00:00:00,2791,POINT (-82.60675048828125 43.70790481567383),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7129,71,-82.59689,43.618202,2023-03-03 18:00:00,2792,POINT (-82.59689331054688 43.618202209472656),4181,946380,18,Phragmites,99268.2852522,2708.2869391,43.6171160829,-82.5965683811
7130,71,-82.60687,43.712444,2023-09-27 06:00:00,2793,POINT (-82.60687255859375 43.71244430541992),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7133,71,-82.60361,43.652027,2023-09-01 06:00:00,2796,POINT (-82.60360717773438 43.65202713012695),4053,904071,18,Phragmites,706653.141468,7549.95453676,43.6517587712,-82.6043646101
7134,71,-82.60864,43.705307,2023-01-04 18:00:00,2797,POINT (-82.608642578125 43.70530700683594),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7135,71,-82.60654,43.70829,2023-01-05 00:00:00,2798,POINT (-82.60653686523438 43.708290100097656),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7136,71,-82.59671,43.618305,2023-03-03 18:00:00,2799,POINT (-82.59671020507812 43.61830520629883),4181,946380,18,Phragmites,99268.2852522,2708.2869391,43.6171160829,-82.5965683811
7137,71,-82.59851,43.62731,2023-06-04 18:00:00,2800,POINT (-82.5985107421875 43.62731170654297),4141,932372,18,Phragmites,60570.4250007,1066.57750438,43.6272668599,-82.5985658799
7138,71,-82.60205,43.63612,2023-03-04 00:00:00,2801,POINT (-82.60205078125 43.6361198425293),4122,922744,18,Phragmites,365104.47377,4514.28048213,43.6371798025,-82.6019820515
7139,71,-82.598816,43.6137,2023-12-02 00:00:00,2802,POINT (-82.59881591796875 43.61370086669922),4199,953078,18,Phragmites,417262.682407,5743.35663478,43.6128081128,-82.5993528893
714,7,-83.54385,45.355644,2023-05-03 00:00:00,271,POINT (-83.54385375976562 45.35564422607422),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
7140,71,-82.64703,43.85622,2023-07-07 06:00:00,2803,POINT (-82.64703369140625 43.85622024536133),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7141,71,-82.64615,43.85575,2023-07-03 18:00:00,2804,POINT (-82.64614868164062 43.855751037597656),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7142,71,-82.60458,43.678295,2023-01-04 00:00:00,2805,POINT (-82.60458374023438 43.67829513549805),3987,882381,18,Phragmites,2611251.22453,26671.6532135,43.6681263306,-82.6049517939
7145,71,-82.60242,43.643677,2023-03-04 00:00:00,2808,POINT (-82.6024169921875 43.6436767578125),4092,912049,18,Phragmites,240598.790255,3200.71620216,43.6450402327,-82.6022229726
7146,71,-82.645386,43.84986,2023-09-27 18:00:00,2809,POINT (-82.6453857421875 43.84986114501953),2569,710340,18,Phragmites,1135670.42177,9106.1070914,43.8495362907,-82.6472166255
7147,71,-82.60574,43.71087,2023-01-04 18:00:00,2810,POINT (-82.60574340820312 43.71086883544922),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7148,71,-82.60483,43.655865,2023-03-04 00:00:00,2811,POINT (-82.60482788085938 43.65586471557617),4053,904071,18,Phragmites,706653.141468,7549.95453676,43.6517587712,-82.6043646101
7149,71,-82.59854,43.627285,2023-06-04 18:00:00,2812,POINT (-82.59854125976562 43.62728500366211),4141,932372,18,Phragmites,60570.4250007,1066.57750438,43.6272668599,-82.5985658799
715,7,-83.49115,45.354992,2023-02-03 06:00:00,272,POINT (-83.49114990234375 45.3549919128418),203,75147,23,Shrub Wetland,2218065.25951,20098.900505,45.3530208369,-83.4899152567
7150,71,-82.60272,43.6471,2023-06-04 12:00:00,2813,POINT (-82.60272216796875 43.647098541259766),4063,907807,18,Phragmites,10095.0518838,492.221082682,43.6472227172,-82.6027848152
7152,71,-82.59857,43.613716,2023-03-03 12:00:00,2815,POINT (-82.59857177734375 43.61371612548828),4199,953078,18,Phragmites,417262.682407,5743.35663478,43.6128081128,-82.5993528893
7153,71,-82.61478,43.779617,2023-06-02 18:00:00,2816,POINT (-82.61477661132812 43.77961730957031),3261,779670,18,Phragmites,930423.413718,10420.8516572,43.7765447804,-82.61436557
7154,71,-82.60797,43.708183,2023-01-05 00:00:00,2817,POINT (-82.60797119140625 43.70818328857422),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7155,71,-82.6759,43.88217,2023-09-28 00:00:00,2818,POINT (-82.6759033203125 43.882171630859375),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7156,71,-82.598175,43.62741,2023-03-03 18:00:00,2819,POINT (-82.59817504882812 43.627410888671875),4141,932372,18,Phragmites,60570.4250007,1066.57750438,43.6272668599,-82.5985658799
